Country code,Name,Forward Or Back,Total Matches,Points scored,Games Won,Six Nations Lost,Six Nations Draw,Height In Metres,Club,Influence
3,Dave Kearney,Back,7,0,4,2,1,1.8,Leinster,81
4,Oliviero Fabiani,Forward,4,0,0,4,0,1.8,Zebre,81
4,Luca Bigi,Forward,7,0,0,7,0,1.8,Zebre,81
4,David Sisi,Forward,5,0,0,5,0,1.96,Zebre,81
1,Joe Marler,Forward,27,0,20,7,0,1.83,Harlequins,82
4,Federico Ruzza,Forward,9,0,0,9,0,1.98,Benetton,82
5,Jamie Bhatti,Forward,7,0,4,3,0,1.83,Edinburgh,82
5,Ben Toolis,Forward,7,0,2,4,1,2.01,Edinburgh,83
4,Sebastian Negri,Forward,9,0,0,9,0,1.94,Benetton,83
2,Paul Willemse,Forward,5,0,2,3,0,2.01,Montpellier,83
5,Byron McGuigan,Back,3,0,0,2,1,1.85,Sale,84
5,Simon Berghan,Forward,11,0,4,6,1,1.91,Edinburgh,85
3,James Ryan,Forward,8,0,6,2,0,2.03,Leinster,85
1,Harry Williams,Forward,5,0,3,2,0,1.91,Exeter Chiefs,85
3,Tadhg Furlong,Forward,16,0,10,5,1,1.83,Leinster,86
1,Kyle Sinckler,Forward,11,0,6,4,1,1.83,Harlequins,86
5,Grant Gilchrist,Forward,11,0,4,6,1,2.01,Edinburgh,87
1,Luke Cowan-Dickie,Forward,7,0,5,1,1,1.83,Exeter Chiefs,87
1,Maro Itoje,Forward,15,0,11,4,0,1.98,Saracens,87
1,Sam Underhill,Forward,3,0,2,1,0,1.86,Bath,87
3,Andrew Porter,Forward,7,0,5,2,0,1.83,Leinster,90
4,Giovanni Licata,Forward,2,0,0,2,0,1.95,Zebre,91
1,Ellis Genge,Forward,4,0,2,1,1,1.85,Leicester,91
5,Willem Nel,Forward,11,0,5,5,1,1.8,Edinburgh,66
2,Dorian Aldegheri,Forward,4,0,2,2,0,1.8,Toulouse,66
2,Dorian Aldegheri,Forward,4,0,2,2,0,1.8,Toulouse,66
